ROI,t,df,p,d,95% CI [d],p_FDR,FDR sig.
L Superiorparietal,-2.75,786,= 0.006,-0.20,"[-0.34, -0.06]",= 0.022,✓
L Superiortemporal,-2.77,786,= 0.006,-0.20,"[-0.34, -0.06]",= 0.022,✓
L Supramarginal,-2.60,786,= 0.009,-0.19,"[-0.33, -0.05]",= 0.027,✓
L Frontalpole,-0.90,786,= 0.368,-0.06,"[-0.20, 0.08]",= 0.379,
L Temporalpole,-2.79,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
L Transversetemporal,-2.05,786,= 0.041,-0.15,"[-0.29, -0.01]",= 0.063,
L Insula,-1.91,786,= 0.057,-0.14,"[-0.28, 0.00]",= 0.081,
R Bankssts,-2.30,786,= 0.022,-0.16,"[-0.30, -0.02]",= 0.041,✓
R Caudalanteriorcingulate,-1.40,786,= 0.163,-0.10,"[-0.24, 0.04]",= 0.181,
R Caudalmiddlefrontal,-0.76,786,= 0.448,-0.05,"[-0.19, 0.09]",= 0.448,
R Cuneus,-2.49,786,= 0.013,-0.18,"[-0.32, -0.04]",= 0.030,✓
R Entorhinal,-2.06,786,= 0.040,-0.15,"[-0.29, -0.01]",= 0.063,
R Fusiform,-2.74,786,= 0.006,-0.20,"[-0.34, -0.06]",= 0.022,✓
R Inferiorparietal,-1.97,786,= 0.050,-0.14,"[-0.28, 0.00]",= 0.072,
R Inferiortemporal,-3.24,786,= 0.001,-0.23,"[-0.37, -0.09]",= 0.017,✓
R Isthmuscingulate,-2.81,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Lateraloccipital,-2.42,786,= 0.016,-0.17,"[-0.31, -0.03]",= 0.033,✓
R Lateralorbitofrontal,-1.48,786,= 0.140,-0.11,"[-0.25, 0.03]",= 0.164,
R Lingual,-1.72,786,= 0.086,-0.12,"[-0.26, 0.02]",= 0.115,
R Medialorbitofrontal,-2.26,786,= 0.024,-0.16,"[-0.30, -0.02]",= 0.044,✓
R Middletemporal,-2.83,786,= 0.005,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Parahippocampal,-1.66,786,= 0.098,-0.12,"[-0.26, 0.02]",= 0.125,
R Paracentral,-0.77,786,= 0.440,-0.06,"[-0.19, 0.08]",= 0.447,
R Parsopercularis,-1.45,786,= 0.148,-0.10,"[-0.24, 0.04]",= 0.171,
R Parsorbitalis,-1.97,786,= 0.049,-0.14,"[-0.28, -0.00]",= 0.072,
R Parstriangularis,-1.87,786,= 0.062,-0.13,"[-0.27, 0.01]",= 0.085,
R Pericalcarine,-2.91,786,= 0.004,-0.21,"[-0.35, -0.07]",= 0.021,✓
R Postcentral,-2.86,786,= 0.004,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Posteriorcingulate,-2.06,786,= 0.039,-0.15,"[-0.29, -0.01]",= 0.063,
R Precentral,-2.93,786,= 0.003,-0.21,"[-0.35, -0.07]",= 0.021,✓
R Precuneus,-2.17,786,= 0.030,-0.16,"[-0.30, -0.02]",= 0.051,
R Rostralanteriorcingulate,-1.20,786,= 0.231,-0.09,"[-0.23, 0.05]",= 0.242,
R Rostralmiddlefrontal,-2.94,786,= 0.003,-0.21,"[-0.35, -0.07]",= 0.021,✓
R Superiorfrontal,-3.93,786,< .001,-0.28,"[-0.42, -0.14]",= 0.003,✓
R Superiorparietal,-2.39,786,= 0.017,-0.17,"[-0.31, -0.03]",= 0.035,✓
R Superiortemporal,-2.85,786,= 0.004,-0.20,"[-0.34, -0.06]",= 0.021,✓
R Supramarginal,-4.05,786,< .001,-0.29,"[-0.43, -0.15]",= 0.003,✓
R Frontalpole,-2.45,786,= 0.015,-0.17,"[-0.31, -0.03]",= 0.032,✓
R Temporalpole,-2.51,786,= 0.012,-0.18,"[-0.32, -0.04]",= 0.029,✓
R Transversetemporal,-2.55,786,= 0.011,-0.18,"[-0.32, -0.04]",= 0.028,✓
R Insula,-2.23,786,= 0.026,-0.16,"[-0.30, -0.02]",= 0.047,✓
